Date,Open,High,Low,Close,Adj Close,Volume
1/4/2021,76.480003,78.610001,73.75,74.050003,74.050003,31155900
1/5/2021,76.440002,78.690002,76.029999,77.260002,77.260002,33418200
1/6/2021,76.360001,78.449997,76.099998,77.110001,77.110001,22390900
1/7/2021,78.059998,80.080002,78.050003,79.110001,79.110001,27945300
1/8/2021,82.540001,84.160004,77.07,77.419998,77.419998,51272100
1/11/2021,76.589996,79.790001,76.419998,78.669998,78.669998,19941600
1/12/2021,79.190002,79.620003,77.82,79.459999,79.459999,18231000
1/13/2021,78.949997,80.389999,78.550003,79.910004,79.910004,15067700
1/14/2021,80.010002,82.209999,79.550003,81.300003,81.300003,17639300
1/15/2021,80.919998,81.879997,79.529999,80.720001,80.720001,14322600
1/19/2021,81.279999,85.68,80.959999,85.5,85.5,26602500
1/20/2021,85.93,87.25,83.230003,83.5,83.5,21191700
1/21/2021,84,85.099998,82.510002,85.010002,85.010002,14703300
1/22/2021,84.080002,84.949997,82.230003,82.279999,82.279999,14229500
1/25/2021,83.190002,83.5,78.889999,81.279999,81.279999,19283400
1/26/2021,81.790001,81.980003,79.010002,79.510002,79.510002,13678000
1/27/2021,77.330002,77.589996,74.330002,75.089996,75.089996,23513400
1/28/2021,77.199997,80.18,76.720001,78.389999,78.389999,18351400
1/29/2021,78.360001,79.370003,76.949997,78.269997,78.269997,17927000
2/1/2021,79.589996,81.089996,78.480003,80.43,80.43,14900200
2/2/2021,81.260002,81.739998,79.919998,81.620003,81.620003,11386200
2/3/2021,81.849998,82.529999,78.970001,79.110001,79.110001,17456000
2/4/2021,79.150002,81.339996,78.959999,81.25,81.25,11519700
2/5/2021,81.769997,82.019997,80.720001,81.099998,81.099998,10950900
2/8/2021,81.75,84.059998,81.639999,84.010002,84.010002,12394800
2/9/2021,83.349998,84,82.400002,83.32,83.32,10362500
2/10/2021,84,84.440002,81.300003,82.349998,82.349998,9869200
2/11/2021,84.400002,86.639999,84,86.480003,86.480003,18710100
2/12/2021,86.110001,88.32,85.459999,88.010002,88.010002,14256200
2/16/2021,89.220001,89.220001,87.050003,87.739998,87.739998,10312800
2/17/2021,86.690002,87.32,84.900002,86.050003,86.050003,10033500
